companyid	company_name	cusip	MSCIsec	sedol
GD8XX0-S-US	Kodiak Oil & Gas Corp.	50015Q10	Energy	B06MB4
DZ70T4-S-US	Koppers Holdings Inc.	50060P10	Materials	B0X46B
X699Q2-S-US	Kopin Corp.	50060010	Information Technology	249241
FNBWSQ-S-US	Michael Kors Holdings Ltd.	G6075410	Consumer Discretionary	B7341C
C05NSB-S-US	Kosmos Energy Ltd.	G5315B10	Energy	B53HHH
M518NK-S-US	The Kroger Co.	50104410	Consumer Staples	249740
GNG73V-S-US	Kraton Performance Polymer	50077C10	Materials	B547X7
VLJF23-S-US	Kilroy Realty Corp.	49427F10	Financials	249552
S4D2D0-S-US	Kraft Foods Group Inc.	50076Q10	Consumer Staples	B8P0S0
DWWZDJ-S-US	Kite Realty Group Trust	49803T10	Financials	B02H89
MXRZV0-S-US	Kearny Financial Corp.	48716910	Financials	B034L8
CGFTZ5-S-US	Kronos Worldwide Inc.	50105F10	Materials	216639
NPN18J-S-US	KapStone Paper & Packaging	48562P10	Materials	B0L2NP
K7VKFQ-S-US	Kohl's Corp.	50025510	Consumer Discretionary	249611
DSFSZY-S-US	Kansas City Southern	48517030	Industrials	260764
KB76XV-S-US	Key Tronic Corp.	49314410	Information Technology	249124
MLJC0X-S-US	Kratos Defense & Security	50077B20	Industrials	251214
MR6L06-S-US	KVH Industries Inc. (Delaw	48273810	Information Technology	249550
TBWFBY-S-US	Kennedy-Wilson Holdings In	48939810	Financials	B29849
SZJFXH-S-US	Quicksilver Resources Inc.	74837R10	Energy	240124
NPL6ST-S-US	Quaker Chemical Corp.	74731610	Materials	271518
KFN66G-S-US	KYTHERA Biopharmaceuticals	50157010	Health Care	B75H4Z
VYPZ0B-S-US	Loews Corp.	54042410	Financials	252302
S5LHR3-S-US	Multi-Color Corp.	62538310	Industrials	260985
QKLFDD-S-US	Lithia Motors Inc.	53679710	Consumer Discretionary	251503
NL5J6M-S-US	Lamar Advertising Co.	51281510	Consumer Discretionary	250841
PX4PQN-S-US	Lancaster Colony Corp.	51384710	Consumer Staples	250320
WZH2VV-S-US	Layne Christensen Co.	52105010	Industrials	250801
PM4PLT-S-US	Lazard Ltd.	G5405010	Financials	B081VQ
TZ5Q99-S-US	Lakeland Bancorp Inc.	51163710	Financials	262003
C4CKD3-S-US	Liberty Global Plc	G5480U10	Consumer Discretionary	B8W676
SKXZ61-S-US	Libbey Inc.	52989810	Consumer Discretionary	251585
HCYM26-S-US	US Airways Group Inc.	90341W10	Industrials	B0LGKM
LLVZG0-S-US	Lannett Co. Inc.	51601210	Health Care	244769
N5TVCH-S-US	Lifetime Brands Inc.	53222Q10	Consumer Discretionary	251577
QG6RS5-S-US	Lydall Inc.	55081910	Industrials	253467
HLYHQR-S-US	Leidos Holdings Inc.	78390X10	Information Technology	BDV82B
QP00SH-S-US	Landauer Inc.	51476K10	Health Care	287971
MJGC2Z-S-US	Lear Corp.	52186520	Consumer Discretionary	B570P9
K11YS2-S-US	Leap Wireless Internationa	52186330	Telecommunication Serv	B02L89
TVS739-S-US	Lincoln Electric Holdings	53390010	Industrials	251685
F3QSC9-S-US	Market Leader Inc.	57056R10	Information Technology	B02T2H
PB0T2B-S-US	Leggett & Platt Inc.	52466010	Consumer Discretionary	251068
GRSGXM-S-US	Lennar Corp.	52605710	Consumer Discretionary	251192
RNJ119-S-US	LeapFrog Enterprises Inc.	52186N10	Consumer Discretionary	294668
SGMYM9-S-US	Littelfuse Inc.	53700810	Information Technology	253183
WN9N7T-S-US	The Laclede Group Inc.	50559710	Utilities	250021
HP078K-S-US	Lions Gate Entertainment C	53591920	Consumer Discretionary	275350
BRV7XS-S-US	Ligand Pharmaceuticals Inc	53220K50	Health Care	250157
XLSWXT-S-US	Laboratory Corp. Of Americ	50540R40	Health Care	258612
XGGNXV-S-US	LHC Group Inc.	50187A10	Health Care	B06DT5
H6CYS5-S-US	LaSalle Hotel Properties	51794210	Financials	224016
FGWXJ4-S-US	Life Technologies Corp.	53217V10	Health Care	239718
QDY7D2-S-US	Lennox International Inc.	52610710	Industrials	244205
DG2SRP-S-US	LIN Media LLC	53277410	Consumer Discretionary	BCB82K
KQNCH9-S-US	Lincoln Educational Servic	53353510	Consumer Discretionary	B0BV2Y
DR8CHR-S-US	Liberty Interactive Corp.	53071M10	Consumer Discretionary	B14470
L9W9ZH-S-US	Fidelity Southern Corp.	31639410	Financials	234842
BQWH4V-S-US	Lionbridge Technologies In	53625210	Information Technology	247973
QNVQLG-S-US	Lakeland Financial Corp.	51165610	Financials	253752
FYN7RB-S-US	LKQ Corp.	50188920	Consumer Discretionary	297102
VPRBS0-S-US	Lumber Liquidators Holding	55003T10	Consumer Discretionary	B5KKQN
BCHWNY-S-US	L-3 Communications Holding	50242410	Industrials	224736
S37C7G-S-US	Limelight Networks Inc.	53261M10	Information Technology	B1YB67
D50Z54-S-US	Linear Technology Corp.	53567810	Information Technology	251683
W38FV3-S-US	Eli Lilly & Co.	53245710	Health Care	251615
TF5788-S-US	Legg Mason Inc.	52490110	Financials	251061
MM3CDV-S-US	Liberty Media Corp.	53122910	Consumer Discretionary	B7KYMP
R02GPQ-S-US	LMI Aerospace Inc.	50207910	Industrials	226119
J5XYXX-S-US	Limoneira Co.	53274610	Consumer Staples	210176
RBFXSD-S-US	Luminex Corp.	5.50E+14	Health Care	257210
MB9TL1-S-US	Lumos Networks Corp.	55028310	Telecommunication Serv	B74WVF
BV8916-S-US	Lockheed Martin Corp.	53983010	Industrials	252209
HVQ5RM-S-US	Lincoln National Corp.	53418710	Financials	251637
JWM3WQ-S-US	Snyder's-Lance Inc.	83355110	Consumer Staples	B54DFD
KM5BFX-S-US	Landec Corp.	51476610	Materials	251705
Q774MW-S-US	Cheniere Energy Inc.	16411R20	Energy	265436
TL2670-S-US	LinkedIn Corp.	53578A10	Information Technology	B3ZVCQ
GC4QRZ-S-US	Lindsay Corp.	53555510	Industrials	251661
X9RH3N-S-US	Alliant Energy Corp.	1880210	Utilities	297382
WJW42V-S-US	Lorillard Inc.	54414710	Consumer Staples	B39GHT
RNJ4DK-S-US	LifeLock Inc.	53224V10	Consumer Discretionary	B84VW1
CSQZST-S-US	LogMeIn Inc.	54142L10	Information Technology	B600J1
LSJ3LH-S-US	Grand Canyon Education Inc	38526M10	Consumer Discretionary	B3F1XM
BT6FCC-S-US	Loral Space & Communicatio	54388110	Consumer Discretionary	B0LXSR
FWGKNT-S-US	Spark Networks Inc.	84651P10	Information Technology	B2351B
N91ZBG-S-US	Lowe's Cos. Inc.	54866110	Consumer Discretionary	253676
R0N4D9-S-US	LipoScience Inc.	53630M10	Health Care	285757
LWQ5DB-S-US	Laredo Petroleum Holdings	51680610	Energy	B7DX5X
JJJB62-S-US	LPL Financial Holdings Inc	50212V10	Financials	B75JX3
VDT4ZR-S-US	LifePoint Hospitals Inc.	53219L10	Health Care	241303
SGP0SF-S-US	Lender Processing Services	5.26E+14	Information Technology	B39TRZ
QPZM46-S-US	LivePerson Inc.	53814610	Information Technology	257705
MBNYTH-S-US	Louisiana-Pacific Corp.	54634710	Materials	253524
GGS44G-S-US	Liquidity Services Inc.	53635B10	Information Technology	B0ZN8Z
N9757B-S-US	Lam Research Corp.	51280710	Information Technology	250224
FL8L8H-S-US	K12 Inc.	48273U10	Consumer Discretionary	B29ZB6
RWHVKS-S-US	Liberty Property Trust	53117210	Financials	251368
MBNTKC-S-US	Lattice Semiconductor Corp	51841510	Information Technology	250665
BRVV1B-S-US	CapLease Inc.	14028810	Financials	B00FXP
TCWFBX-S-US	LSI Corp.	50216110	Information Technology	249899
H7DL2V-S-US	Landstar System Inc.	51509810	Industrials	250399
FLDXDF-S-US	LTC Properties Inc.	50217510	Financials	249878
B3L74D-S-US	L Brands Inc.	50179710	Consumer Discretionary	B9M2WX
NZP7PH-S-US	Life Time Fitness Inc.	53217R20	Consumer Discretionary	B01R1Z
NSYWF1-S-US	Ladenburg Thalmann Financi	50575Q10	Financials	248278
T2Z28K-S-US	LTX-Credence Corp.	50240320	Information Technology	249950
KW3WP9-S-US	Luby's Inc.	54928210	Consumer Discretionary	216292
BDNXCR-S-US	Lufkin Industries Inc.	54976410	Energy	253748
XKSVQP-S-US	Leucadia National Corp.	52728810	Financials	251301
MXVHMC-S-US	Southwest Airlines Co.	84474110	Industrials	283154
TMTS63-S-US	Steinway Musical Instrumen	85849510	Consumer Discretionary	284877
TKPVG7-S-US	Level 3 Communications Inc	52729N30	Telecommunication Serv	B5LL29
TMYX30-S-US	Liberty Interactive Corp.	53071M88	Consumer Discretionary	B8FK6R
BPSQS5-S-US	Las Vegas Sands Corp.	51783410	Consumer Discretionary	B02T2J
VGZF8W-S-US	Lifeway Foods Inc.	53191410	Consumer Staples	254530
CHQQ0L-S-US	Lexmark International Inc.	52977110	Information Technology	251190
VS1QSW-S-US	Lexington Realty Trust	52904310	Financials	213915
R95603-S-US	Lexicon Pharmaceuticals In	52887210	Health Care	257693
NV79M1-S-US	LSB Industries Inc.	50216010	Materials	253688
M1W3FF-S-US	LyondellBasell Industries	N5374510	Materials	B3SPXZ
HTJTDH-S-US	LSI Industries Inc.	50216C10	Industrials	249902
C5FWZD-S-US	Live Nation Entertainment	53803410	Consumer Discretionary	B0T7YX
BNL65Y-S-US	La-Z-Boy Inc.	50533610	Consumer Discretionary	250840
KHRMVQ-S-US	Macy's Inc.	55616P10	Consumer Discretionary	234502
HLTYZF-S-US	MasterCard Inc.	57636Q10	Information Technology	B12155
TLPSG8-S-US	Mid-America Apartment Comm	59522J10	Financials	258913
RPSRTL-S-US	Macerich Co.	55438210	Financials	254396
MYPH9W-S-US	Merrimack Pharmaceuticals	59032810	Health Care	B72XX6
TBQVMN-S-US	Main Street Capital Corp.	56035L10	Financials	B28BNR
QHC03C-S-US	MAKO Surgical Corp.	56087910	Health Care	B2PLY0
GKZ0R8-S-US	ManpowerGroup	56418H10	Industrials	256249
X56F28-S-US	Manhattan Associates Inc.	56275010	Information Technology	223947
KZJH2D-S-US	ManTech International Corp	56456310	Information Technology	282530
CC0PJK-S-US	Marriott International Inc	57190320	Consumer Discretionary	221061
GPBWRP-S-US	Masco Corp.	57459910	Industrials	257020
Q6CJWX-S-US	Masimo Corp.	57479510	Health Care	B1YWR6
RS1WKD-S-US	Mattel Inc.	57708110	Consumer Discretionary	257230
J99KF2-S-US	Mattersight Corp.	57709710	Information Technology	B5TGY4
B4K45G-S-US	Matthews International Cor	57712810	Consumer Discretionary	256809
MLMM7Z-S-US	Matson Inc.	57686G10	Industrials	B8GNC9
BDMVBR-S-US	Maxygen Inc.	57777610	Health Care	252982
HY2GJD-S-US	MB Financial Inc.	55264U10	Financials	281765
QH5ZDJ-S-US	MBIA Inc.	55262C10	Financials	254704
PN6NGR-S-US	Middleburg Financial Corp.	59609410	Financials	264783
SW4WHC-S-US	Merchants Bancshares Inc.	58844810	Financials	258071
DS954L-S-US	Mercantile Bank Corp.	58737610	Financials	262025
WQJW8S-S-US	MetroCorp Bancshares Inc.	59165010	Financials	244472
CDHPCV-S-US	Medley Capital Corp.	58503F10	Financials	B451X5
F1F0GY-S-US	McDonald's Corp.	58013510	Consumer Discretionary	255070
JR360D-S-US	Contango Oil & Gas Co.	21075N20	Energy	275294
MT99FY-S-US	MCG Capital Corp.	58047P10	Financials	282339
SY92RH-S-US	Microchip Technology Inc.	59501710	Information Technology	259217
PW14V7-S-US	Marchex Inc.	56624R10	Information Technology	223894
LRDD7S-S-US	McKesson Corp.	58155Q10	Health Care	237853
C4BW2G-S-US	Moody's Corp.	61536910	Financials	225205
GGV50C-S-US	Molycorp Inc.	60875310	Materials	B458HM
QLL86B-S-US	Monarch Casino & Resort In	60902710	Consumer Discretionary	259919
LSJLCT-S-US	Micrel Inc.	59479310	Information Technology	258973
LZ5YVD-S-US	MICROS Systems Inc.	59490110	Information Technology	258808
BNM1TR-S-US	Marcus Corp.	56633010	Consumer Discretionary	256482
PHPRNG-S-US	Mercury General Corp.	58940010	Financials	257846
QBNT1Z-S-US	MEDNAX Inc.	58502B10	Health Care	267764
G5FRC0-S-US	MedAssets Inc.	58404510	Health Care	B29YMY
XD3RWF-S-US	M.D.C. Holdings Inc.	55267610	Consumer Discretionary	256120
H8N5Q2-S-US	MDC Partners Inc.		Consumer Discretionary	257449
KYKSFJ-S-US	The Medicines Co.	58468810	Health Care	261677
D8DHJ7-S-US	Mondelez International Inc	60920710	Consumer Staples	B8CKK0
GB58PD-S-US	Meredith Corp.	58943310	Consumer Discretionary	257851
VLC2X3-S-US	McDermott International In	58003710	Energy	255031
HD2MQZ-S-US	Allscripts Healthcare Solu	01988P10	Health Care	271003
CX3NF1-S-US	Medidata Solutions Inc.	58471A10	Health Care	B5424Q
TTHQS7-S-US	Medtronic Inc.	58505510	Health Care	257546
P45G64-S-US	MDU Resources Group Inc.	55269010	Utilities	254732
W91Z7L-S-US	Medivation Inc.	58501N10	Health Care	B033T7
MG3YWX-S-US	Midway Gold Corp.		Materials	B01DLW
R3HHY7-S-US	Metalico Inc.	59117610	Industrials	B015P5
MLJD2Y-S-US	Measurement Specialties In	58342110	Information Technology	257235
K39KJD-S-US	Medifast Inc.	58470H10	Consumer Staples	293403
TSCHL5-S-US	MeetMe Inc.	58514110	Information Technology	B8J72D
JVB0D2-S-US	Methode Electronics Inc.	59152020	Information Technology	258329
X0T7BG-S-US	Mentor Graphics Corp.	58720010	Information Technology	257803
NV2X6X-S-US	MetLife Inc.	59156R10	Financials	257320
BDMMYK-S-US	Metro Bancorp Inc. (Pennsy	59161R10	Financials	243393
SKWSYY-S-US	MFA Financial Inc.	55272X10	Financials	241816
VCM27Y-S-US	Maidenform Brands Inc.	56030510	Consumer Discretionary	B0DPJT
NNLG3Y-S-US	MicroFinancial Inc.	59507210	Financials	241167
QMXJY2-S-US	Multi-Fineline Electronix	62541B10	Information Technology	B011MJ
RV0G27-S-US	Mattress Firm Holding Corp	57722W10	Consumer Discretionary	B6ZW53
BFW6MW-S-US	MISTRAS Group Inc.	60649T10	Industrials	B4WCCG
Q3W246-S-US	Multimedia Games Holding C	62545310	Consumer Discretionary	290085
SPFVW7-S-US	MGE Energy Inc.	55277P10	Utilities	255416
V2MYTY-S-US	MoneyGram International In	60935Y20	Information Technology	B4L508
PLYM03-S-US	Magellan Health Services I	55907920	Health Care	230778
MQ18S4-S-US	MGM Resorts International	55295310	Consumer Discretionary	254741
CQHVTT-S-US	McGrath RentCorp	58058910	Industrials	255155
NXC32S-S-US	McGraw Hill Financial Inc.	58064510	Consumer Discretionary	255144
WPJ3PZ-S-US	Morgans Hotel Group Co.	61748W10	Consumer Discretionary	B0YRYS
NK4RMT-S-US	Mohawk Industries Inc.	60819010	Consumer Discretionary	259869
HHBX04-S-US	Maiden Holdings Ltd.	G5753U11	Financials	B2RB07
KPM401-S-US	M/I Homes Inc.	55305B10	Consumer Discretionary	254938
VS56F4-S-US	Magnum Hunter Resources Co	55973B10	Energy	285097
G900JC-S-US	The Middleby Corp.	59627810	Industrials	259093
KHSV4V-S-US	Meadowbrook Insurance Grou	58319P10	Financials	257494
G7VGR0-S-US	Miller Energy Resources In	60052710	Energy	B01D5M
MG410Z-S-US	Mitcham Industries Inc.	60650110	Energy	259713
VKC2S0-S-US	Mobile Mini Inc.	60740F10	Industrials	254817
LRW9TX-S-US	AG Mortgage Investment Tru	122810	Financials	B4NKX3
SM1XZZ-S-US	Mead Johnson Nutrition Co.	58283910	Consumer Staples	B4W9F2
DVR40W-S-US	McCormick & Co. Inc.	57978020	Consumer Staples	255016
J75JH3-S-US	Markel Corp.	57053510	Financials	256643
TGB6X1-S-US	MKS Instruments Inc.	55306N10	Information Technology	240487
CCJBHC-S-US	Responsys Inc.	76124810	Information Technology	B5MYYV
GV31DS-S-US	MarketAxess Holdings Inc.	57060D10	Financials	B03Q9D
WB6GYX-S-US	Mesa Laboratories Inc.	59064R10	Information Technology	255381
GQM6RL-S-US	Herman Miller Inc.	60054410	Industrials	259422
Q771FS-S-US	Mueller Industries Inc.	62475610	Industrials	260971
LY60VC-S-US	Martin Marietta Materials	57328410	Materials	257207
DG7WGG-S-US	ModusLink Global Solutions	60786L10	Information Technology	220355
PRM6ST-S-US	Miller Industries Inc. (Te	60055120	Industrials	280119
M6WZVV-S-US	Millennial Media Inc.	60040N10	Information Technology	B7GJ9R
RWB1HB-S-US	Marsh & McLennan Cos. Inc.	57174810	Financials	256774
R17LLM-S-US	3M Co.	88579Y10	Industrials	259570
HY2KQH-S-US	MAXIMUS Inc.	57793310	Information Technology	201866
LWY7WZ-S-US	Merit Medical Systems Inc.	58988910	Health Care	258055
R7V8ZQ-S-US	Manning & Napier Inc.	56382Q10	Financials	B5L94X
DWQ23Z-S-US	The McClatchy Co.	57948910	Consumer Discretionary	257448
CJWNLB-S-US	MannKind Corp.	56400P20	Health Care	B010TR
GN6H7G-S-US	Monmouth Real Estate Inves	60972010	Financials	250407
LRHWY2-S-US	Monro Muffler Brake Inc.	61023610	Consumer Discretionary	260008
NT3TVP-S-US	Monster Beverage Corp.	61174010	Consumer Staples	B6X2H8
G0YHN6-S-US	Momenta Pharmaceuticals In	60877T10	Health Care	B018VB
WPL1CS-S-US	MTR Gaming Group Inc.	55376910	Consumer Discretionary	297267
BRWRT6-S-US	Altria Group Inc.	02209S10	Consumer Staples	269263
B8483R-S-US	Modine Manufacturing Co.	60782810	Consumer Discretionary	259835
LHG8VT-S-US	MidWestOne Financial Group	59851110	Financials	298717
J996RR-S-US	Moog Inc.	61539420	Industrials	260121
CB1BN2-S-US	Molina Healthcare Inc.	60855R10	Health Care	221270
D559F6-S-US	Molex Inc.	60855410	Information Technology	259914
CN7JPT-S-US	Monsanto Co.	61166W10	Materials	265432
TQ9V5F-S-US	Morningstar Inc.	61770010	Consumer Discretionary	B081VR
GW5WZK-S-US	The Mosaic Co.	61945C10	Materials	B3NPHP
N4NNBJ-S-US	MoSys Inc.	61971810	Information Technology	277079
MR6HW4-S-US	Movado Group Inc.	62458010	Consumer Discretionary	264316
QMWRFB-S-US	Move Inc.	62458M20	Information Technology	B7CPZL
MQLFH7-S-US	Marathon Petroleum Corp.	56585A10	Energy	B3K3L4
H0GWRH-S-US	Midstates Petroleum Co. In	59804T10	Energy	B7TWX3
JZVY5B-S-US	Met-Pro Corp.	59087630	Industrials	258285
M8H3DT-S-US	Medical Properties Trust I	58463J30	Financials	B0JL5L
CZJM88-S-US	Monolithic Power Systems I	60983910	Information Technology	B01Z7J
STZMBB-S-US	Marine Products Corp.	56842710	Consumer Discretionary	273710
V032J1-S-US	MRC Global Inc.	55345K10	Industrials	B7M66F
JR3CBK-S-US	Mercury Systems Inc.	58937810	Information Technology	214404
NW86FZ-S-US	Merge Healthcare Inc.	58949910	Health Care	214423
S48NVS-S-US	Montpelier Re Holdings Ltd	G6218510	Financials	295688
V9FMMN-S-US	Merck & Co. Inc.	58933Y10	Health Care	277884
X2XKYS-S-US	Marlin Business Services C	57115710	Financials	212288
NCHX4Q-S-US	Marathon Oil Corp.	56584910	Energy	291097
QXVDZX-S-US	Marten Transport Ltd.	57307510	Industrials	256835
F3NL57-S-US	Marvell Technology Group L	G5876H10	Information Technology	259465
RWHXPV-S-US	Morgan Stanley	61744644	Financials	226231
DZ4019-S-US	Mine Safety Appliances Co.	60272010	Industrials	259531
SQMDKJ-S-US	Microsemi Corp.	59513710	Information Technology	258814
TP36J7-S-US	MSCI Inc.	55354G10	Financials	B2972D
KDCJD2-S-US	Middlesex Water Co.	59668010	Utilities	258946
PN2FDS-S-US	MainSource Financial Group	56062Y10	Financials	247515
DF3K29-S-US	Microsoft Corp.	59491810	Information Technology	258817
RT8PT0-S-US	The Madison Square Garden	55826P10	Consumer Discretionary	B60SJT
X8M6VK-S-US	Motorola Solutions Inc.	62007630	Information Technology	B5BKPQ
CSTJJ2-S-US	MidSouth Bancorp Inc.	59803910	Financials	258723
WPDTDW-S-US	MSC Industrial Direct Co.	55353010	Industrials	256765
M8DZBT-S-US	Martha Stewart Living Omni	57308310	Consumer Discretionary	250351
LJQBBG-S-US	Mindspeed Technologies Inc	60268220	Information Technology	280861
B700XP-S-US	MicroStrategy Inc.	59497240	Information Technology	297432
VBL5F0-S-US	M&T Bank Corp.	55261F10	Financials	234016
VNSTB5-S-US	Mettler-Toledo Internation	59268810	Information Technology	212624
MCJB7C-S-US	Matador Resources Co.	57648520	Energy	B7MSLL
LY1F21-S-US	MGIC Investment Corp.	55284810	Financials	254861
LDMY8V-S-US	American Capital Mortgage	02504A10	Financials	B6QB58
XCZ9C7-S-US	Meritage Homes Corp.	59001A10	Consumer Discretionary	260132
XQ6C1S-S-US	Vail Resorts Inc.	91879Q10	Consumer Discretionary	295419
QZ3MSQ-S-US	Meritor Inc.	59001K10	Industrials	260834
K14JPH-S-US	Materion Corp.	57669010	Materials	214962
GW67MW-S-US	Matrix Service Co.	57685310	Energy	257206
TH9T7R-S-US	MTS Systems Corp.	55377710	Information Technology	260898
HPVS0L-S-US	M/A-COM Technology Solutio	55405Y10	Information Technology	B5B15Y
MJ6M6L-S-US	Mattson Technology Inc.	57722310	Information Technology	257229
FMG5YQ-S-US	Manitowoc Co. Inc.	56357110	Industrials	256204
QQ0ZRH-S-US	Minerals Technologies Inc.	60315810	Materials	259561
NGW1SG-S-US	MasTec Inc.	57632310	Industrials	215530
D1RR34-S-US	Micron Technology Inc.	59511210	Information Technology	258818
PKTM88-S-US	Murphy Oil Corp.	62671710	Energy	261120
RPSD37-S-US	McEwen Mining Inc.	58039P10	Materials	B7M5FL
CFGCWL-S-US	The Men's Wearhouse Inc.	58711810	Consumer Discretionary	257632
CHNTDT-S-US	Mueller Water Products Inc	62475810	Industrials	B15RZR
HVWRCV-S-US	MWI Veterinary Supply Inc.	55402X10	Health Care	B0FZ5Q
G5M8S2-S-US	MeadWestvaco Corp.	58333410	Materials	284004
TTHG7Z-S-US	Monster Worldwide Inc.	61174210	Information Technology	289204
V0BDBS-S-US	Maxim Integrated Products	57772K10	Information Technology	257376
BCLHSJ-S-US	MaxLinear Inc.	57776J10	Information Technology	B3RDWC
R06PRP-S-US	Maxwell Technologies Inc.	57776710	Information Technology	257377
KFP4W6-S-US	Myers Industries Inc.	62846410	Materials	261308
V4VNWF-S-US	Myriad Genetics Inc.	62855J10	Health Care	261415
VH2XZ5-S-US	Mylan Inc.	62853010	Health Care	261380
P46QRG-S-US	MYR Group Inc.	55405W10	Industrials	B3CLS1
SFHJ55-S-US	NetSuite Inc.	64118Q10	Information Technology	B2B0FZ
WFHPXV-S-US	Nash-Finch Co.	63115810	Consumer Staples	262331
W14H16-S-US	Nanometrics Inc.	63007710	Information Technology	262222
T6788J-S-US	NASB Financial Inc.	62896810	Financials	263461
TP4M2F-S-US	Nordic American Tankers Lt	G6577310	Energy	211387
K00N4R-S-US	Nathan's Famous Inc.	63234710	Consumer Discretionary	262274
L1V2ML-S-US	National Instruments Corp.	63651810	Information Technology	264507
B2BRS9-S-US	National Interstate Corp.	63654U10	Financials	B05Q28
SDC7RY-S-US	Nature's Sunshine Products	63902710	Consumer Staples	262781
RRXLHH-S-US	National American Universi	63245Q10	Consumer Discretionary	B29ZGG
T1PR8N-S-US	Navistar International Cor	6.39E+14	Industrials	262446
X56G49-S-US	Navidea Biopharmaceuticals	63937X10	Health Care	B5BBBX
NZMC2Q-S-US	The Navigators Group Inc.	63890410	Financials	262785
FLD3XQ-S-US	National Bank Holdings Cor	63370710	Financials	B888DV
JS30TB-S-US	Neurocrine Biosciences Inc	64125C10	Health Care	262391
WW7382-S-US	Noble Energy Inc.	65504410	Energy	264076
Q1PKCV-S-US	Nabors Industries Ltd.	G6359F10	Energy	296337
RT6C6P-S-US	NBT Bancorp Inc.	62877810	Financials	262645
GJT01G-S-US	NACCO Industries Inc.	62957910	Consumer Discretionary	261697
WSZQYZ-S-US	Navigant Consulting Inc.	63935N10	Industrials	256479
L97VX8-S-US	Norwegian Cruise Line Hold	G6672110	Consumer Discretionary	B9CGTC
DD15DZ-S-US	National CineMedia Inc.	63530910	Consumer Discretionary	B1R2N5
F6YHJW-S-US	NCR Corp.	6.29E+14	Information Technology	263265
VDTGL1-S-US	NCI Building Systems Inc.	62885220	Industrials	261748
QP196P-S-US	The NASDAQ OMX Group Inc.	63110310	Financials	296510
H57L9Z-S-US	Nordson Corp.	65566310	Industrials	264183
VLCR4Q-S-US	NextEra Energy Inc.	65339F10	Utilities	232891
P5BL31-S-US	Newmont Mining Corp.	65163910	Materials	263660
PFFBBC-S-US	Neogen Corp.	64049110	Health Care	263008
RMKGNK-S-US	Neonode Inc.	64051M40	Information Technology	B1VVZR
P6FP85-S-US	Nuverra Environmental Solu	67091K10	Consumer Staples	B97CDD
KW9NPQ-S-US	NewMarket Corp.	65158710	Materials	B01CGF
S5KHV5-S-US	Newport Corp.	65182410	Information Technology	263674
XHGZN7-S-US	NewStar Financial Inc.	65251F10	Financials	B1L7CP
TTN01C-S-US	Northfield Bancorp Inc. (N	66611T10	Financials	B8NB2R
QLMDCD-S-US	National Fuel Gas Co.	63618010	Utilities	262610
BT4517-S-US	Netflix Inc.	64110L10	Consumer Discretionary	285781
DBTYF1-S-US	National Financial Partner	63607P20	Financials	277292
KQL6C8-S-US	Newfield Exploration Co.	65129010	Energy	263507
LD2TMS-S-US	NGP Capital Resources Co.	62912R10	Financials	B03PGK
J3M97N-S-US	Natural Gas Services Group	63886Q10	Energy	298615
SGBJSL-S-US	Natural Grocers By Vitamin	63888U10	Consumer Staples	B82C9Z
N4N7K4-S-US	National HealthCare Corp.	63590610	Health Care	213973
JBM2Q3-S-US	National Health Investors	63633D10	Financials	262612
N00KJ9-S-US	NiSource Inc.	65473P10	Utilities	264540
Q400NX-S-US	Nicholas Financial Inc.	65373J20	Financials	241599
TSJWW7-S-US	NII Holdings Inc.	62913F20	Telecommunication Serv	209048
DR5L64-S-US	Blue Nile Inc.	09578R10	Consumer Discretionary	B00G5P
SKY8SB-S-US	New Jersey Resources Corp.	64602510	Utilities	263051
WK0NR3-S-US	NIKE Inc.	65410610	Consumer Discretionary	264014
NM9P8M-S-US	National Bankshares Inc.	63486510	Financials	253255
X7L8YL-S-US	Nektar Therapeutics	64026810	Health Care	245444
NFMVYM-S-US	NL Industries Inc.	62915640	Industrials	261806
DJ9WJJ-S-US	NewLink Genetics Corp.	65151110	Health Care	B4LHRV
BLJDN6-S-US	Nielsen Holdings NV	N6321810	Industrials	B4NTRF
B18X3G-S-US	Annaly Capital Management	3571040	Financials	211345
XL11KK-S-US	New Mountain Finance Corp.	64755110	Financials	B61WWF
GNCQ6C-S-US	Numerex Corp.	67053A10	Information Technology	263620
KSZK51-S-US	NN Inc.	62933710	Industrials	262055
W002HZ-S-US	Nelnet Inc.	64031N10	Financials	219619
CC672R-S-US	National Retail Properties	63741710	Financials	221181
D2W0G9-S-US	Northrop Grumman Corp.	66680710	Industrials	264880
RZV3HP-S-US	Northern Oil & Gas Inc.	66553110	Energy	B0WRP8
QGB58C-S-US	Noranda Aluminum Holding C	65542W10	Materials	B3T6G1
C37KN8-S-US	National Oilwell Varco Inc	63707110	Energy	262448
W9VPHX-S-US	ServiceNow Inc.	81762P10	Information Technology	B80NXX
DKPSBS-S-US	Neenah Paper Inc.	64007910	Materials	B03W0P
MYW1SZ-S-US	National Penn Bancshares I	63713810	Financials	260515
GXB7CQ-S-US	National Presto Industries	63721510	Consumer Discretionary	262680
JS2P50-S-US	EnPro Industries Inc.	29355X10	Industrials	295129
LVXKG7-S-US	NPS Pharmaceuticals Inc.	62936P10	Health Care	265178
CGSB34-S-US	NeoPhotonics Corp.	64051T10	Information Technology	B3TMC7
MCQ45P-S-US	Newpark Resources Inc.	65171850	Energy	263687
